Date,PortfolioName,Action,Asset,QuantityChange,ValueChange
2024-01-01,Growth Fund,Sell,AMZN,-20,5169.33
2024-01-02,Value Fund,Sell,AMZN,-73,11713.28
2024-01-03,Dividend Fund,Sell,MSFT,-77,19975.29
2024-01-04,Growth Fund,Buy,TSLA,71,33674.78
2024-01-05,Dividend Fund,Buy,AMZN,39,17370.56
2024-01-06,Growth Fund,Buy,TSLA,57,15414.87
2024-01-07,Value Fund,Sell,NFLX,-13,839.46
2024-01-08,Tech Fund,Sell,MSFT,-33,9821.41
2024-01-09,Growth Fund,Buy,META,51,9245.96
2024-01-10,Dividend Fund,Buy,NVDA,75,14208.37
2024-01-11,Value Fund,Buy,NFLX,83,23959.73
2024-01-12,Tech Fund,Sell,GOOG,-11,599.26
2024-01-13,Tech Fund,Sell,NFLX,-16,6851.21
2024-01-14,Value Fund,Sell,AAPL,-8,3813.93
2024-01-15,Growth Fund,Sell,GOOGL,-61,5805.7
2024-01-16,Growth Fund,Buy,TSLA,73,24362.03
2024-01-17,Growth Fund,Buy,NVDA,10,3839.82
2024-01-18,Dividend Fund,Buy,GOOG,44,18246.54
2024-01-19,Tech Fund,Sell,MSFT,-25,2753.42
2024-01-20,Growth Fund,Buy,AAPL,5,1880.86
2024-01-21,Tech Fund,Sell,GOOGL,-79,17844.38
2024-01-22,Growth Fund,Sell,GOOGL,-17,4369.02
2024-01-23,Growth Fund,Buy,MSFT,79,20242.08
2024-01-24,Dividend Fund,Buy,NFLX,59,9688.01
2024-01-25,Value Fund,Buy,NFLX,63,19434.44
2024-01-26,Growth Fund,Buy,BABA,88,41199.85
2024-01-27,Value Fund,Buy,NFLX,39,14383.82
2024-01-28,Value Fund,Buy,GOOGL,80,11950.17
2024-01-29,Tech Fund,Sell,GOOGL,-19,4051.22
2024-01-30,Value Fund,Sell,META,-4,240.89
2024-01-31,Growth Fund,Sell,NVDA,-71,21713.26
2024-02-01,Dividend Fund,Buy,NVDA,34,15742.86
2024-02-02,Tech Fund,Sell,AAPL,-88,13797.42
2024-02-03,Tech Fund,Buy,NFLX,65,31884.78
2024-02-04,Dividend Fund,Buy,NFLX,33,8285.24
2024-02-05,Tech Fund,Buy,MSFT,100,19995.03
2024-02-06,Value Fund,Sell,MSFT,-82,8367.96
2024-02-07,Tech Fund,Buy,NVDA,3,1057.79
2024-02-08,Dividend Fund,Buy,GOOG,70,28845.25
2024-02-09,Tech Fund,Buy,TSLA,71,22306.83
2024-02-10,Value Fund,Buy,GOOGL,72,4208.4
2024-02-11,Growth Fund,Buy,BABA,51,8532.59
2024-02-12,Tech Fund,Buy,GOOGL,36,10047.89
2024-02-13,Tech Fund,Buy,META,55,13974.97
2024-02-14,Growth Fund,Sell,AAPL,-26,7059.31
2024-02-15,Tech Fund,Sell,GOOGL,-79,38442.34
2024-02-16,Growth Fund,Sell,BABA,-1,193.84
2024-02-17,Tech Fund,Sell,GOOGL,-81,38588.21
2024-02-18,Value Fund,Sell,AAPL,-56,11818.43
2024-02-19,Dividend Fund,Sell,TSLA,-69,32225.73
2024-02-20,Value Fund,Buy,META,90,39006.18
2024-02-21,Growth Fund,Sell,GOOG,-91,34355.68
2024-02-22,Tech Fund,Sell,GOOG,-95,36659.75
2024-02-23,Value Fund,Buy,NFLX,30,12287.81
2024-02-24,Dividend Fund,Buy,AMZN,33,13791.74
2024-02-25,Dividend Fund,Buy,MSFT,87,29423.47
2024-02-26,Tech Fund,Sell,BABA,-44,7670.92
2024-02-27,Tech Fund,Sell,BABA,-93,32610.49
2024-02-28,Value Fund,Buy,AAPL,25,7979.2
2024-02-29,Dividend Fund,Sell,GOOG,-73,5456.89
2024-03-01,Tech Fund,Buy,META,51,15729.94
2024-03-02,Value Fund,Buy,NFLX,87,29174.66
2024-03-03,Growth Fund,Sell,AAPL,-43,5790.24
2024-03-04,Dividend Fund,Sell,NVDA,-94,23777.99
2024-03-05,Value Fund,Buy,NVDA,45,5556.83
2024-03-06,Growth Fund,Sell,META,-43,13719.33
2024-03-07,Tech Fund,Sell,NVDA,-1,475.97
2024-03-08,Dividend Fund,Sell,NFLX,-91,43693.29
2024-03-09,Growth Fund,Sell,NFLX,-1,380.63
2024-03-10,Value Fund,Sell,META,-54,24976.08
2024-03-11,Growth Fund,Sell,GOOGL,-13,1909.1
2024-03-12,Dividend Fund,Buy,MSFT,31,4145.15
2024-03-13,Dividend Fund,Sell,BABA,-100,46444.82
2024-03-14,Value Fund,Sell,META,-12,3227.23
2024-03-15,Value Fund,Buy,BABA,58,7914.2
2024-03-16,Growth Fund,Buy,GOOGL,13,1640.0
2024-03-17,Dividend Fund,Sell,TSLA,-61,27169.04
2024-03-18,Tech Fund,Sell,GOOGL,-32,11091.6
2024-03-19,Growth Fund,Buy,META,34,2843.69
2024-03-20,Tech Fund,Sell,BABA,-4,1829.38
2024-03-21,Value Fund,Sell,AAPL,-54,9542.67
2024-03-22,Dividend Fund,Sell,META,-93,4903.46
2024-03-23,Growth Fund,Buy,MSFT,87,41775.88
2024-03-24,Growth Fund,Sell,GOOG,-88,35575.91
2024-03-25,Dividend Fund,Buy,TSLA,61,18567.96
2024-03-26,Tech Fund,Sell,BABA,-45,15831.21
2024-03-27,Growth Fund,Sell,AAPL,-3,863.63
2024-03-28,Tech Fund,Buy,NVDA,7,2399.58
2024-03-29,Growth Fund,Buy,GOOGL,12,5203.57
2024-03-30,Tech Fund,Buy,NVDA,28,11546.31
2024-03-31,Growth Fund,Sell,BABA,-59,24473.29
2024-04-01,Tech Fund,Buy,BABA,27,2328.79
2024-04-02,Growth Fund,Sell,AMZN,-77,10034.13
2024-04-03,Value Fund,Buy,META,69,32203.62
2024-04-04,Tech Fund,Sell,NFLX,-6,756.46
2024-04-05,Dividend Fund,Sell,NVDA,-83,4704.24
2024-04-06,Tech Fund,Sell,AAPL,-1,171.11
2024-04-07,Growth Fund,Sell,GOOGL,-88,43972.69
2024-04-08,Dividend Fund,Buy,TSLA,48,19935.68
2024-04-09,Growth Fund,Sell,GOOG,-49,9256.54
